t -  arbitrary time, [c]	M - mean anomaly, [rad]	E - eccentric anonaly, [rad]	Theta - true anomaly, [rad]
679	0.765527	0.765884	0.765884
680	0.766655	0.767012	0.767012
681	0.767782	0.76814	0.76814
682	0.768909	0.769268	0.769268
683	0.770037	0.770396	0.770396
684	0.771164	0.771524	0.771524
685	0.772292	0.772652	0.772652
686	0.773419	0.773779	0.773779
687	0.774547	0.774907	0.774907
688	0.775674	0.776035	0.776035
689	0.776801	0.777163	0.777163
690	0.777929	0.778291	0.778291
691	0.779056	0.779419	0.779419
692	0.780184	0.780547	0.780547
693	0.781311	0.781674	0.781674
694	0.782439	0.782802	0.782802
695	0.783566	0.78393	0.78393
696	0.784694	0.785058	0.785058
697	0.785821	0.786186	0.786186
698	0.786948	0.787314	0.787314
699	0.788076	0.788441	0.788441
700	0.789203	0.789569	0.789569
701	0.790331	0.790697	0.790697
702	0.791458	0.791825	0.791825
703	0.792586	0.792953	0.792953
704	0.793713	0.794081	0.794081
705	0.79484	0.795208	0.795208
706	0.795968	0.796336	0.796336
707	0.797095	0.797464	0.797464
708	0.798223	0.798592	0.798592
709	0.79935	0.79972	0.79972
710	0.800478	0.800848	0.800848
711	0.801605	0.801976	0.801976
712	0.802732	0.803103	0.803103
713	0.80386	0.804231	0.804231
714	0.804987	0.805359	0.805359
715	0.806115	0.806487	0.806487
716	0.807242	0.807615	0.807615
717	0.80837	0.808743	0.808743
718	0.809497	0.80987	0.80987
719	0.810624	0.810998	0.810998
720	0.811752	0.812126	0.812126
721	0.812879	0.813254	0.813254
722	0.814007	0.814382	0.814382
723	0.815134	0.81551	0.81551
724	0.816262	0.816637	0.816637
725	0.817389	0.817765	0.817765
726	0.818517	0.818893	0.818893
727	0.819644	0.820021	0.820021
728	0.820771	0.821149	0.821149
729	0.821899	0.822277	0.822277
730	0.823026	0.823404	0.823404
731	0.824154	0.824532	0.824532
732	0.825281	0.82566	0.82566
733	0.826409	0.826788	0.826788
734	0.827536	0.827916	0.827916
735	0.828663	0.829043	0.829043
736	0.829791	0.830171	0.830171
737	0.830918	0.831299	0.831299
738	0.832046	0.832427	0.832427
739	0.833173	0.833555	0.833555
740	0.834301	0.834683	0.834683
741	0.835428	0.83581	0.83581
742	0.836555	0.836938	0.836938
743	0.837683	0.838066	0.838066
744	0.83881	0.839194	0.839194
745	0.839938	0.840322	0.840322
746	0.841065	0.84145	0.84145
747	0.842193	0.842577	0.842577
748	0.84332	0.843705	0.843705
749	0.844447	0.844833	0.844833
750	0.845575	0.845961	0.845961
751	0.846702	0.847089	0.847089
752	0.84783	0.848216	0.848216
753	0.848957	0.849344	0.849344
754	0.850085	0.850472	0.850472
755	0.851212	0.8516	0.8516
756	0.85234	0.852728	0.852728
757	0.853467	0.853856	0.853856
758	0.854594	0.854983	0.854983
759	0.855722	0.856111	0.856111
760	0.856849	0.857239	0.857239
761	0.857977	0.858367	0.858367
762	0.859104	0.859495	0.859495
763	0.860232	0.860622	0.860622
764	0.861359	0.86175	0.86175
765	0.862486	0.862878	0.862878
766	0.863614	0.864006	0.864006
767	0.864741	0.865134	0.865134
768	0.865869	0.866261	0.866261
769	0.866996	0.867389	0.867389
770	0.868124	0.868517	0.868517
771	0.869251	0.869645	0.869645
772	0.870378	0.870773	0.870773
773	0.871506	0.871901	0.871901
774	0.872633	0.873028	0.873028
775	0.873761	0.874156	0.874156
776	0.874888	0.875284	0.875284
777	0.876016	0.876412	0.876412
778	0.877143	0.87754	0.87754
779	0.87827	0.878667	0.878667
780	0.879398	0.879795	0.879795
781	0.880525	0.880923	0.880923
782	0.881653	0.882051	0.882051
783	0.88278	0.883179	0.883179
784	0.883908	0.884306	0.884306
785	0.885035	0.885434	0.885434
786	0.886163	0.886562	0.886562
787	0.88729	0.88769	0.88769
788	0.888417	0.888818	0.888818
789	0.889545	0.889945	0.889945
790	0.890672	0.891073	0.891073
791	0.8918	0.892201	0.892201
792	0.892927	0.893329	0.893329
793	0.894055	0.894457	0.894457
794	0.895182	0.895584	0.895584
795	0.896309	0.896712	0.896712
796	0.897437	0.89784	0.89784
797	0.898564	0.898968	0.898968
798	0.899692	0.900096	0.900096
